FeatureID,Name,Formula,calc_mw,mz,rt,annot_source,Annot. Source: mzVault Search
Feature2369,Indole-3-carboxaldehyde,C9 H7 N O,145.05268,146.05996,12.402,mzVault and mzCloud,Full match
Feature2368,Ornithine,C5 H12 N2 O2,115.06321,116.07049,1.057,mzVault and mzCloud,Invalid mass
Feature2367,Ornithine,C5 H12 N2 O2,132.08982,133.09709,1.058,mzVault and mzCloud,Full match
Feature2366,Histamine,C5 H9 N3,94.053,112.08682,1.003,mzVault and mzCloud,Invalid mass
Feature2365,D-Aspartic acid,C4 H7 N O4,133.03737,134.04465,1.215,mzVault and mzCloud,Full match
Feature2364,Cytidine-5'-monophosphate,C9 H14 N3 O8 P,323.0517,324.05897,1.799,mzVault and mzCloud,Full match
Feature2363,D-Histidine,C6 H9 N3 O2,155.06937,156.07667,1.131,mzVault and mzCloud,Full match
Feature2362,D-Histidine,C6 H9 N3 O2,155.06934,156.07662,1.169,mzVault and mzCloud,Full match
Feature2361,O-Phosphorylethanolamine,C2 H8 N O4 P,141.01897,142.02625,1.187,mzVault,Full match
Feature2360,L-Alanine,C3 H7 N O2,89.04761,90.05489,1.428,mzVault and mzCloud,Full match
Feature2359,D-Threonine,C4 H9 N O3,102.03152,120.06534,1.257,mzVault and mzCloud,Invalid mass
Feature2358,D-Threonine,C4 H9 N O3,119.05809000000001,120.06537,1.253,mzVault and mzCloud,Full match
Feature2357,Cytidine,C9 H13 N3 O5,243.08533,244.0926,2.295,mzVault and mzCloud,Full match
Feature2356,Cytidine,C9 H13 N3 O5,226.0588,227.06611,2.277,mzVault and mzCloud,Invalid mass
Feature2355,L-Alanine,C3 H7 N O2,89.04762,90.0549,1.227,mzVault and mzCloud,Full match
Feature2354,L-Citrulline,C6 H13 N3 O3,175.09553,176.10281,1.306,mzVault and mzCloud,Full match
Feature2353,L-Citrulline,C6 H13 N3 O3,158.06898,159.07628,1.305,mzVault and mzCloud,Invalid mass
Feature2352,N-Acetylglutamic acid,C7 H11 N O5,189.06359,190.07087,3.943,mzVault,Full match
Feature2351,D-Valine,C5 H11 N O2,117.07884,118.08612,2.027,mzVault and mzCloud,Full match
Feature2350,D-Leucine,C6 H13 N O2,131.09448,132.10176,4.534,mzVault and mzCloud,Full match
Feature2349,D-Glutamine,C5 H10 N2 O3,146.06902,147.0763,1.231,mzVault and mzCloud,Full match
Feature2348,D-Glutamine,C5 H10 N2 O3,129.04249,130.04974,1.231,mzVault and mzCloud,Invalid mass
Feature2347,D-Glutamic acid,C5 H9 N O4,147.05302,148.06029,1.286,mzVault and mzCloud,Full match
Feature2346,D-Glutamic acid,C5 H9 N O4,130.02648,148.06031,1.286,mzVault and mzCloud,Invalid mass
Feature2345,Propionyllevocarnitine,C10 H19 N O4,217.13121,218.13849,5.686,mzVault and mzCloud,Full match
Feature2344,D-Serine,C3 H7 N O3,105.04244,106.04972,1.187,mzVault and mzCloud,Full match
Feature2343,D-(+)-Cellobiose,C12 H22 O11,359.1425,360.14977,1.436,mzVault and mzCloud,Invalid mass
Feature2342,D-(+)-Cellobiose,C12 H22 O11,359.14243,360.14971,1.464,mzVault and mzCloud,Invalid mass
Feature2341,L-Tyrosine,C9 H11 N O3,164.04721,165.05451,4.285,mzVault and mzCloud,Invalid mass
Feature2340,L-Tyrosine,C9 H11 N O3,181.07373,182.08101,4.281,mzVault and mzCloud,Full match
