system,rt_exper,Pubchem,cmm_id,rt_pred
FEM_long,26.07,22630387,123889.0,621.9849
FEM_short,17.38,22630387,123889.0,621.9849
FEM_long,28.45,12004528,80367.0,657.8285
FEM_short,19.91,12004528,80367.0,657.8285
FEM_long,25.2,5089889,,714.30194
FEM_long,38.9,5281691,15328.0,861.6052
FEM_long,1.575,840,132328.0,597.77295
FEM_long,23.9,1072,,642.1355
LIFE_new,3.3807,1072,,642.1355
LIFE_old,1.6801,1072,,642.1355
IPB_Halle,3.922316667,1072,,642.1355
FEM_long,29.975,5099,,772.49347
FEM_long,38.985,348130,,806.5386
UniToyama_Atlantis,20.526667,348130,,806.5386
FEM_long,26.4,338,111115.0,661.2459
RIKEN,1.55,338,111115.0,661.2459
FEM_long,50.1,521332,95760.0,1256.4277
FEM_long,24.58,5280460,128381.0,707.0752
IPB_Halle,4.5,5280460,128381.0,707.0752
FEM_long,11.1,5202,121867.0,90.47655
MTBLS20,4.2,5202,121867.0,90.47655
MTBLS20,4.3,5202,121867.0,90.47655
RIKEN,1.08,5202,121867.0,90.47655
FEM_orbitrap_plasma,2.04,5202,121867.0,90.47655
FEM_long,2.29,1094,87805.0,586.8381
FEM_long,25.9,10743,88090.0,691.2896
FEM_long,23.6,439703,,650.3702
FEM_long,39.3,145659,13954.0,976.7185
FEM_long,1.64,3266408,,1292.9695
FEM_long,25.0607,5251,,696.9628
FEM_long,0.98,1103,47559.0,80.79725
MTBLS20,0.8,1103,47559.0,80.79725
MTBLS20,0.7,1103,47559.0,80.79725
RIKEN,0.14,1103,47559.0,80.79725
FEM_long,2.4,4287569,,573.40515
FEM_long,4.975,1110,27571.0,88.76088
FEM_short,3.94,1110,27571.0,88.76088
RIKEN,0.49,1110,27571.0,88.76088
MTBLS36,5.347006175,1110,27571.0,88.76088
FEM_long,1.9,1115,102429.0,568.4938
FEM_long,23.5,8655,,631.1172
FEM_orbitrap_plasma,6.69,8655,,631.1172
FEM_long,37.4,5281953,15202.0,746.65155
FEM_long,42.3,5247,,671.5299
FEM_long,30.5,16043,121459.0,749.6062
FEM_long,15.3,5429,71149.0,596.666
LIFE_new,2.1422,5429,71149.0,596.666
LIFE_old,1.369466667,5429,71149.0,596.666
MTBLS20,4.7,5429,71149.0,596.666
MTBLS20,4.8,5429,71149.0,596.666
Qtof-PFEM,7.1,5429,71149.0,596.666
INRA_QTOF,7.12,5429,71149.0,596.666
FEM_long,17.8,2153,49248.0,599.7279
Cao_HILIC,2.28,2153,49248.0,599.7279
FEM_long,1.45,439535,64474.0,590.2491
FEM_long,27.9,6651,70712.0,733.5918
FEM_long,1.67,5570,110085.0,644.986
MTBLS20,0.9,5570,110085.0,644.986
MTBLS38,1.729381008,5570,110085.0,644.986
RIKEN,0.19,5570,110085.0,644.986
Waters ACQUITY UPLC with Synapt G1 Q-TOF,1.673583333,5570,110085.0,644.986
Qtof-PFEM,0.96,5570,110085.0,644.986
INRA_QTOF,0.96,5570,110085.0,644.986
FEM_long,26.215,10685,105154.0,647.19574
FEM_long,6.2,5610,81630.0,83.747604
RIKEN,0.67,5610,81630.0,83.747604
FEM_orbitrap_plasma,1.53,5610,81630.0,83.747604
MPI_Symmetry,8.44655,5610,81630.0,83.747604
Cao_HILIC,10.46,5610,81630.0,83.747604
FEM_long,17.5,10393,76462.0,583.94086
FEM_long,23.9,5281426,89068.0,694.6508
FEM_orbitrap_plasma,6.845,5281426,89068.0,694.6508
PFR-TK72,5.43,5281426,89068.0,694.6508
Waters ACQUITY UPLC with Synapt G1 Q-TOF,6.775566667,5281426,89068.0,694.6508
FEM_long,2.975,1174,78489.0,605.47595
